,Unnamed: 0,Zestimate,Price,Rent Zestimate,Days On Zillow,Bathrooms,Bedrooms,Living Area,Home Type,Street Address,Zip,statusType,Mortgage,HOA,Zip_code,Violent_crime,Property_Crime,quality,commute_time,free_lunch,total_schools
314,314,1069100.0,3934,3805.0,24,2.0,5.0,1281.0,SINGLE_FAMILY,730 S 11th St,95112,FOR_RENT,29364.61333333333,476,95126,32,45,Below Average,22.7,77.2,100.0
315,315,,1750,1789.0,30,1.0,1.0,,APARTMENT,460 S 4th St APT 1,95112,FOR_RENT,,469,95112,43,54,Below Average,22.7,77.2,100.0
316,316,,1595,1662.0,37,1.0,1.0,,APARTMENT,81 E William St APT 7,95112,FOR_RENT,,504,95128,33,45,Below Average,22.7,77.2,100.0
317,317,1479500.0,1800,1575.0,38,1.0,1.0,450.0,TOWNHOUSE,248 E San Salvador St,95112,FOR_RENT,40636.93333333333,546,95110,43,53,Below Average,22.7,77.2,100.0
318,318,,1895,2314.0,39,1.0,2.0,737.0,APARTMENT,125 Duane St APT 1,95110,FOR_RENT,,436,95110,43,53,Below Average,21.8,76.4,100.0
319,319,1000700.0,3750,3499.0,77,2.5,3.0,1675.0,TOWNHOUSE,108 Balbach St APT 4,95110,FOR_RENT,27485.89333333333,361,95110,43,53,Below Average,21.8,76.4,100.0
320,320,,2300,2322.0,64,1.0,1.0,760.0,APARTMENT,111 W Reed St UNIT 4,95110,FOR_RENT,,378,95112,43,54,Below Average,21.8,76.4,100.0
321,321,,2295,2394.0,76,2.0,2.0,852.0,APARTMENT,529 S 10th St APT 3,95112,FOR_RENT,,436,95112,43,54,Below Average,22.7,77.2,100.0
322,322,,3575,3736.0,85,2.0,3.0,1500.0,SINGLE_FAMILY,969 S 7th St,95112,FOR_RENT,,518,95113,24,39,Below Average,22.7,77.2,100.0
323,323,,1900,1780.0,87,1.0,1.0,550.0,APARTMENT,433 S 7th St #3,95112,FOR_RENT,,385,95113,24,39,Below Average,22.7,77.2,100.0
324,324,,1595,1666.0,90,1.0,0.0,500.0,APARTMENT,560 S 7th St APT I,95112,FOR_RENT,,451,95112,43,54,Below Average,22.7,77.2,100.0
325,325,,1985,2404.0,143,1.0,2.0,800.0,APARTMENT,93 W Reed St APT 1,95110,FOR_RENT,,546,95112,43,54,Below Average,21.8,76.4,100.0
326,326,,1500,1560.0,400,1.0,1.0,6196.0,APARTMENT,627 S 9th St,95112,FOR_RENT,,541,95110,43,53,Below Average,22.7,77.2,100.0
327,327,,1400,1560.0,400,1.0,1.0,6716.0,APARTMENT,470 S 4th St,95112,FOR_RENT,,389,95112,43,54,Below Average,22.7,77.2,100.0
328,328,,1795,1702.0,36,1.0,0.0,500.0,APARTMENT,411 S 11th St #5,95112,FOR_RENT,,484,95112,43,54,Below Average,22.7,77.2,100.0
329,329,758600.0,2400,2227.0,26,2.0,2.0,800.0,TOWNHOUSE,344 E San Salvador St #1,95112,FOR_RENT,20836.213333333333,450,95112,43,54,Below Average,22.7,77.2,100.0
330,330,,2000,2769.0,30,1.0,2.0,800.0,APARTMENT,443 S 8th St,95112,FOR_RENT,,479,95112,43,54,Below Average,22.7,77.2,100.0
331,331,,1900,2444.0,55,1.0,2.0,4122.0,APARTMENT,420 S 7th St,95112,FOR_RENT,,372,95112,43,54,Below Average,22.7,77.2,100.0
332,332,,2395,1794.0,275,1.0,2.0,650.0,APARTMENT,417 S 8th St #6,95112,FOR_RENT,,358,95112,43,54,Below Average,22.7,77.2,100.0
333,333,1121823.0,1088000,3300.0,0,3.0,4.0,1084.0,SINGLE_FAMILY,488 N 17th St,95112,FOR_SALE,30812.7384,407,95110,43,53,Below Average,22.7,77.2,100.0
334,334,999761.0,988000,3369.0,2,2.0,3.0,1080.0,SINGLE_FAMILY,185 N 12th St,95112,FOR_SALE,27460.10213333333,517,95112,43,54,Below Average,22.7,77.2,100.0
335,335,646079.0,623800,2495.0,2,1.0,1.0,998.0,CONDO,144 S 3rd St UNIT 608,95112,FOR_SALE,17745.636533333334,357,95112,43,54,Below Average,22.7,77.2,100.0
